"Fine
Aggregate","Coarse
Aggregate","Fly ash","Silica
Fume","Cement","Slag","Water","Superplasticizer","Age","Compressive 
Strength"
"664.7","1027.1","0","62.9","408.4","0","165.6","9","28","62.07"
"670.8","1040.6","0","64.1","407.7","0","165.7","10.4","28","72.21"
"664.2","1032.9","0","64.2","402.1","0","168.3","5.7","28","64.27"
"665.5","1034.9","0","64.2","402","0","168.2","4.9","28","70.45"
"666.3","1034.4","0","64.3","400.5","0","167.5","5.9","28","68.64"
"660","989","0","60","455","0","167.4","10.2","28","62.96"
"644.1","1049.8","0","67.1","418.3","0","161.8","7.8","28","59.9"
"653.3","1033.5","0","62","430.6","0","158.5","11.5","28","71.91"
"657","1055.1","0","64","430.4","0","158.3","12.6","28","67.54"
"653.2","1042.3","0","63.9","423.8","0","159.7","8.3","28","85.61"
"654.7","1044.6","0","63.9","423.8","0","159.7","7.2","28","81.07"
"665","997","0","60","470","0","156.4","11.6","28","64.7"
"627.2","1057.7","0","66.7","446.5","0","153.1","10.5","28","78.02"
"642.8","1040.5","0","60.9","452.6","0","152","14.2","28","69.07"
"643.4","1067.7","0","63.7","453.1","0","151.6","12.6","28","78.6"
"641.6","1049.2","0","63.4","445.7","0","151.9","11.2","28","97.75"
"643.2","1052","0","63.4","445.8","0","151.9","9.8","28","93.67"
"642.2","1047.2","0","63.2","443.4","0","152","12.7","28","88.28"
"669","1002","0","60","480","0","145.8","15.6","28","71.32"
"608.6","1063.5","0","66","476.7","0","144.9","14.5","28","91.89"
"630.3","1043.5","0","59.6","474.7","0","146.1","17.7","28","81.79"
"629.7","1078.8","0","63.3","476","0","145.4","15.6","28","96.5"
"627.2","1050.5","0","62.7","467.8","0","144.7","16.7","28","100.67"
"631.6","1058.2","0","62.6","468.1","0","144.8","12.3","28","102.71"
"629.2","1050.2","0","62.4","465","0","145.3","16.9","28","102.2"
"588.4","1066.9","0","64.9","508.8","0","137.2","19.5","28","99.95"
"616.9","1044.7","0","58.1","497.1","0","140.6","22.4","28","70.64"
"615.8","1088.5","0","62.8","499.3","0","139.6","19.2","28","103.1"
"614.1","1053","0","61.9","490.5","0","138","20.7","28","103.56"
"615.1","1055.2","0","62","491","0","138.1","19.6","28","113.15"
"612.5","1045.7","0","61.4","487.1","0","139","24.8","28","108.9"
"773","1044","0","0","511","0","143","5.11","7","42.54"
"773","1044","0","0","511","0","143","5.11","28","47.37"
"773","1044","0","25.55","486","0","143","5.11","7","44.58"
"773","1044","0","25.55","486","0","143","5.11","28","49.49"
"773","1044","0","51.1","461","0","143","5.11","7","45.86"
"773","1044","0","51.1","461","0","143","5.11","28","50.9"
"773","1044","0","76.65","436","0","143","5.11","7","49.93"
"773","1044","0","76.65","436","0","143","5.11","28","55.85"
"773","1044","0","102.2","411","0","143","5.11","7","46.87"
"773","1044","0","102.2","411","0","143","5.11","28","52.32"
"773.0","1044","0","127.75","386","0","143","5.11","7","43.82"
"773.0","1044","0","127.75","386","0","143","5.11","28","48.78"
"551","1118","86","0","427.00","0","218","0","90","41.5"
"713.21","1104.2","0","0","425.73","0","191.58","0","3","10.7"
"713.21","1104.2","0","0","425.73","0","191.58","0","7","15"
"713.21","1104.2","0","0","425.73","0","191.58","0","28","24"
"713.21","1104.2","0","0","425.73","0","191.58","0","56","38"
"713.21","1104.2","0","12.77","412.95","0","191.58","0","3","11"
"713.21","1104.2","0","12.77","412.95","0","191.58","0","7","14.5"
"713.21","1104.2","0","12.77","412.95","0","191.58","0","28","25.5"
"713.21","1104.2","0","12.77","412.95","0","191.58","0","56","39"
"713.21","1104.2","0","25.54","400.18","0","191.58","0","3","11"
"713.21","1104.2","0","25.54","400.18","0","191.58","0","7","15"
"713.21","1104.2","0","25.54","400.18","0","191.58","0","28","25.5"
"713.21","1104.2","0","25.54","400.18","0","191.58","0","56","39"
"713.21","1104.2","0","42.57","383.15","0","191.58","0","3","15.67"
"713.21","1104.2","0","42.57","383.15","0","191.58","0","7","16.5"
"713.21","1104.2","0","42.57","383.15","0","191.58","0","28","25.36"
"713.21","1104.2","0","42.57","383.15","0","191.58","0","56","39.315"
"713.21","1104.2","0","51.08","374.64","0","191.58","0","3","15.67"
"713.21","1104.2","0","51.08","374.64","0","191.58","0","7","18.5"
"713.21","1104.2","0","51.08","374.64","0","191.58","0","28","25.36"
"713.21","1104.2","0","51.08","374.64","0","191.58","0","56","39.315"
"821","1095","0","0","383","0","147.35","0.5","28","39"
"680","904","105","0","273","82","210","9","28","34.99"
"658","923","144","0","154","112","220","10","28","26.82"
"829","860","115","0","147","89","202","9","28","25.21"
"853","750","227","0","145","0","240","6","28","36.59"
"892","785","237","0","152","0","204","6","28","32.71"
"722","895","140","0","304","0","214","6","28","38.46"
